Start date,Start date
2018-01-31,168590
2018-02-28,182378
2018-03-31,238998
2018-04-30,328907
2018-05-31,374115
2018-06-30,392338
2018-07-31,404761
2018-08-31,403866
2018-09-30,325800
2018-10-31,343021
2018-11-30,202376
2018-12-31,177534
2019-01-31,150780
2019-02-28,158130
2019-03-31,253811
2019-04-30,347992
2019-05-31,337704
2019-06-30,350144
2019-07-31,356645
2019-08-31,360044
2019-09-30,360225
2019-10-31,337552
2019-11-30,223512
2019-12-31,161878
2020-01-31,196969
2020-02-29,177901
2020-03-31,162530
2020-04-30,75471
2020-05-31,149051
2020-06-30,214047
2020-07-31,228347
2020-08-31,251603
2020-09-30,249899
2020-10-31,229832
2020-11-30,175435
2020-12-31,105829
2021-01-31,100070
2021-02-28,77505
2021-03-31,171165
2021-04-30,216763
2021-05-31,254177
2021-06-30,275380
2021-07-31,312426
2021-08-31,271994
2021-09-30,309197
2021-10-31,328300
2021-11-30,242057
2021-12-31,190847
2022-01-31,109619
2022-02-28,154317
2022-03-31,254250
2022-04-30,310435
2022-05-31,332821
2022-06-30,389656
2022-07-31,393683
2022-08-31,377657
2022-09-30,386085
2022-10-31,333309
2022-11-30,259717
2022-12-31,175233
